pdfsize,metadata_size,pages,title_characters,isEncrypted,embedded_files,images,text,header,obj,stream,xref,trailer,ObjStm,Javascript,AA,OpenAction,Acroform,JBIG2Decode,RichMedia,launch,XFA,Class
2018,818,86,67,No,0,2,671,%PDF-1.5,53,122,175,8,48,0,0,0,0,0,0,0,0,Benign
4115,600,80,73,No,1,19,902,%PDF-1.5,492,190,186,19,0,0,0,0,0,0,0,0,0,Malicious
2731,569,3,101,No,2,3,267,%PDF-1.4,307,105,58,37,30,0,0,0,0,0,0,0,0,Malicious
2222,217,71,73,Yes,1,5,787,%PDF-1.3,491,68,196,14,1,0,0,0,0,0,0,0,0,Benign
2257,490,9,147,Yes,2,16,470,%PDF-1.5,178,111,126,7,46,0,0,0,0,0,0,0,0,Malicious
1143,863,74,65,Yes,0,14,185,%PDF-1.7,476,35,14,26,34,0,0,0,0,0,0,0,0,Malicious
469,68,82,86,Yes,3,19,171,%PDF-1.3,294,18,187,8,45,0,0,0,0,0,0,0,0,Benign
2777,770,13,75,Yes,1,14,562,%PDF-1.7,36,135,28,16,28,0,0,0,0,0,0,0,0,Malicious
4440,518,43,36,No,0,12,319,%PDF-1.5,205,197,118,23,4,0,0,0,0,0,0,0,0,Benign
328,733,13,137,No,3,6,101,%PDF-1.5,69,169,158,28,1,0,0,0,0,0,0,0,0,Malicious
4292,680,57,47,No,4,0,427,%PDF-1.3,470,116,50,32,16,0,0,0,0,0,0,0,0,Malicious
4139,460,92,59,Yes,0,2,652,%PDF-1.6,152,8,54,34,37,0,0,0,0,0,0,0,0,Malicious
1391,343,9,158,Yes,2,5,318,%PDF-1.3,111,197,95,42,7,0,0,0,0,0,0,0,0,Benign
3162,645,40,189,No,4,0,955,%PDF-1.4,276,89,177,4,42,0,0,0,0,0,0,0,0,Malicious
834,183,97,134,Yes,3,10,779,%PDF-1.6,213,57,45,18,11,0,0,0,0,0,0,0,0,Benign
3792,604,30,183,No,4,15,512,%PDF-1.3,49,178,133,1,24,0,0,0,0,0,0,0,0,Malicious
3505,139,14,170,No,2,19,934,%PDF-1.5,408,149,91,1,10,0,0,0,0,0,0,0,0,Malicious
1779,667,49,96,Yes,1,9,432,%PDF-1.5,423,149,23,11,23,0,0,0,0,0,0,0,0,Benign
348,647,51,154,Yes,3,17,139,%PDF-1.3,371,55,142,30,22,0,0,0,0,0,0,0,0,Benign
4853,130,66,65,Yes,0,19,35,%PDF-1.4,308,198,166,44,0,0,0,0,0,0,0,0,0,Benign
2233,769,32,92,Yes,1,17,938,%PDF-1.4,201,90,115,38,28,0,0,0,0,0,0,0,0,Malicious
4466,445,95,107,Yes,3,9,959,%PDF-1.6,271,106,36,32,39,0,0,0,0,0,0,0,0,Benign
3392,797,52,192,No,3,6,739,%PDF-1.7,260,150,31,39,46,0,0,0,0,0,0,0,0,Benign
3894,89,29,169,No,0,19,103,%PDF-1.7,83,131,85,9,16,0,0,0,0,0,0,0,0,Benign
3801,220,96,97,No,2,4,293,%PDF-1.3,41,34,101,42,44,0,0,0,0,0,0,0,0,Benign
981,519,92,130,No,1,8,41,%PDF-1.3,127,60,110,44,43,0,0,0,0,0,0,0,0,Benign
1825,228,50,40,No,2,1,51,%PDF-1.3,227,72,49,5,49,0,0,0,0,0,0,0,0,Benign
2338,363,3,160,Yes,4,15,246,%PDF-1.5,80,189,100,24,18,0,0,0,0,0,0,0,0,Benign
2493,677,60,110,Yes,0,12,572,%PDF-1.3,54,142,59,41,42,0,0,0,0,0,0,0,0,Malicious
228,187,55,106,No,4,1,65,%PDF-1.4,426,73,137,24,28,0,0,0,0,0,0,0,0,Benign
2737,693,15,153,Yes,2,4,984,%PDF-1.7,188,146,159,42,2,0,0,0,0,0,0,0,0,Malicious
779,148,63,126,Yes,3,11,455,%PDF-1.7,292,147,130,46,13,0,0,0,0,0,0,0,0,Malicious
3719,216,84,14,No,2,10,263,%PDF-1.7,262,78,1,24,33,0,0,0,0,0,0,0,0,Malicious
3418,608,11,57,No,1,16,516,%PDF-1.4,367,80,198,3,8,0,0,0,0,0,0,0,0,Benign
4613,803,72,35,No,3,5,790,%PDF-1.6,370,178,5,17,21,0,0,0,0,0,0,0,0,Benign
3726,212,14,146,No,3,18,312,%PDF-1.6,148,112,199,11,38,0,0,0,0,0,0,0,0,Malicious
1839,334,75,7,Yes,0,8,47,%PDF-1.3,424,29,7,24,7,0,0,0,0,0,0,0,0,Malicious
4837,928,42,40,No,3,16,50,%PDF-1.5,186,143,103,29,24,0,0,0,0,0,0,0,0,Malicious
2060,990,1,119,No,3,4,851,%PDF-1.5,417,117,22,23,10,0,0,0,0,0,0,0,0,Benign
1635,602,96,138,No,1,0,111,%PDF-1.4,203,101,19,10,26,0,0,0,0,0,0,0,0,Benign
4528,474,17,100,No,4,1,635,%PDF-1.6,56,145,136,15,12,0,0,0,0,0,0,0,0,Benign
1858,379,60,172,No,3,7,384,%PDF-1.6,380,181,145,34,48,0,0,0,0,0,0,0,0,Benign
390,631,18,183,Yes,1,19,777,%PDF-1.5,16,66,24,2,3,0,0,0,0,0,0,0,0,Malicious
2353,611,93,26,Yes,0,0,60,%PDF-1.6,386,83,195,11,48,0,0,0,0,0,0,0,0,Benign
3980,330,74,190,Yes,3,7,897,%PDF-1.6,22,37,64,44,39,0,0,0,0,0,0,0,0,Benign
955,71,80,122,Yes,1,2,698,%PDF-1.5,104,129,64,5,42,0,0,0,0,0,0,0,0,Malicious
2320,193,43,127,Yes,3,18,449,%PDF-1.4,302,80,60,21,42,0,0,0,0,0,0,0,0,Malicious
658,960,47,19,Yes,2,13,207,%PDF-1.6,470,68,92,11,9,0,0,0,0,0,0,0,0,Benign
3435,447,63,124,No,2,15,977,%PDF-1.6,204,139,36,6,46,0,0,0,0,0,0,0,0,Benign
2383,508,78,145,No,0,14,302,%PDF-1.7,61,81,85,21,29,0,0,0,0,0,0,0,0,Malicious
1657,493,84,116,No,3,13,490,%PDF-1.3,117,92,42,26,48,0,0,0,0,0,0,0,0,Malicious
1142,793,2,16,No,0,15,394,%PDF-1.5,448,88,11,9,43,0,0,0,0,0,0,0,0,Malicious
2826,111,66,104,No,2,0,230,%PDF-1.7,363,51,74,4,28,0,0,0,0,0,0,0,0,Malicious
3352,128,11,187,No,4,17,416,%PDF-1.5,51,25,134,7,18,0,0,0,0,0,0,0,0,Malicious
4702,312,29,144,Yes,4,14,151,%PDF-1.7,193,165,152,32,5,0,0,0,0,0,0,0,0,Benign
2191,512,83,27,No,4,14,1,%PDF-1.3,133,18,71,43,5,0,0,0,0,0,0,0,0,Benign
811,687,25,191,Yes,4,7,289,%PDF-1.3,89,64,65,9,19,0,0,0,0,0,0,0,0,Malicious
4165,516,79,191,Yes,2,16,112,%PDF-1.6,423,133,157,16,40,0,0,0,0,0,0,0,0,Benign
3152,469,46,33,No,1,7,414,%PDF-1.4,309,26,136,17,25,0,0,0,0,0,0,0,0,Benign
3504,940,24,160,No,4,0,862,%PDF-1.5,90,131,166,18,24,0,0,0,0,0,0,0,0,Benign
495,202,34,81,Yes,4,18,162,%PDF-1.5,325,146,181,12,12,0,0,0,0,0,0,0,0,Malicious
1568,593,53,118,Yes,4,4,1,%PDF-1.5,207,132,164,3,28,0,0,0,0,0,0,0,0,Benign
3841,565,76,89,Yes,3,2,111,%PDF-1.7,31,61,187,26,31,0,0,0,0,0,0,0,0,Benign
4162,499,60,156,Yes,0,12,508,%PDF-1.3,225,3,83,18,49,0,0,0,0,0,0,0,0,Benign
2181,817,93,199,Yes,2,4,274,%PDF-1.6,93,177,79,17,36,0,0,0,0,0,0,0,0,Benign
4025,303,86,159,No,2,17,489,%PDF-1.7,123,65,64,13,30,0,0,0,0,0,0,0,0,Malicious
4210,956,75,186,No,4,8,29,%PDF-1.6,439,161,47,46,45,0,0,0,0,0,0,0,0,Benign
1943,364,60,189,No,1,0,333,%PDF-1.4,355,39,150,30,21,0,0,0,0,0,0,0,0,Malicious
4491,567,29,18,No,1,19,410,%PDF-1.3,67,32,143,21,46,0,0,0,0,0,0,0,0,Benign
1448,544,41,50,No,0,10,431,%PDF-1.6,425,155,160,11,18,0,0,0,0,0,0,0,0,Malicious
1205,857,12,144,No,4,5,551,%PDF-1.5,287,187,34,40,6,0,0,0,0,0,0,0,0,Malicious
3415,466,38,118,Yes,3,13,780,%PDF-1.3,437,172,98,44,20,0,0,0,0,0,0,0,0,Malicious
3187,320,92,10,Yes,0,10,467,%PDF-1.4,373,150,45,2,6,0,0,0,0,0,0,0,0,Malicious
707,70,43,19,No,2,0,841,%PDF-1.7,170,49,178,46,5,0,0,0,0,0,0,0,0,Benign
4165,395,12,104,Yes,2,15,529,%PDF-1.4,267,182,54,35,44,0,0,0,0,0,0,0,0,Malicious
1007,834,65,123,Yes,2,8,260,%PDF-1.3,265,133,29,5,39,0,0,0,0,0,0,0,0,Malicious
4026,59,96,33,Yes,4,13,229,%PDF-1.6,360,34,114,37,11,0,0,0,0,0,0,0,0,Malicious
46,901,86,34,No,0,17,322,%PDF-1.3,124,25,175,6,41,0,0,0,0,0,0,0,0,Malicious
3986,565,28,25,Yes,1,12,597,%PDF-1.7,167,174,183,3,3,0,0,0,0,0,0,0,0,Malicious
3936,183,45,112,No,0,13,242,%PDF-1.7,123,55,20,6,14,0,0,0,0,0,0,0,0,Malicious
3904,337,53,1,Yes,1,5,914,%PDF-1.7,148,153,65,23,35,0,0,0,0,0,0,0,0,Malicious
3327,576,25,114,Yes,4,4,479,%PDF-1.7,81,27,31,31,15,0,0,0,0,0,0,0,0,Malicious
2363,349,27,95,Yes,4,8,863,%PDF-1.4,19,56,62,20,36,0,0,0,0,0,0,0,0,Benign
3528,153,24,93,Yes,0,17,683,%PDF-1.4,470,56,107,6,43,0,0,0,0,0,0,0,0,Benign
1392,682,99,135,No,3,10,333,%PDF-1.4,38,56,56,10,3,0,0,0,0,0,0,0,0,Benign
3905,688,74,104,Yes,1,6,228,%PDF-1.5,444,134,14,42,1,0,0,0,0,0,0,0,0,Benign
2782,162,84,145,Yes,0,15,743,%PDF-1.7,2,182,102,48,47,0,0,0,0,0,0,0,0,Benign
2299,317,81,152,No,1,17,330,%PDF-1.6,388,182,11,37,26,0,0,0,0,0,0,0,0,Benign
2532,281,95,184,No,0,18,246,%PDF-1.6,164,148,46,6,25,0,0,0,0,0,0,0,0,Benign
2848,676,11,159,Yes,2,5,930,%PDF-1.7,259,40,1,41,23,0,0,0,0,0,0,0,0,Benign
195,743,88,103,No,4,14,482,%PDF-1.6,141,192,18,34,21,0,0,0,0,0,0,0,0,Malicious
707,740,7,98,No,2,11,48,%PDF-1.4,245,108,87,26,34,0,0,0,0,0,0,0,0,Malicious
1234,941,48,47,Yes,3,8,494,%PDF-1.5,226,109,170,8,28,0,0,0,0,0,0,0,0,Malicious
581,780,59,119,No,2,7,460,%PDF-1.5,265,140,155,49,8,0,0,0,0,0,0,0,0,Benign
2203,354,36,27,No,0,2,863,%PDF-1.3,197,153,20,22,31,0,0,0,0,0,0,0,0,Benign
3345,152,15,186,No,0,5,711,%PDF-1.6,268,190,7,3,33,0,0,0,0,0,0,0,0,Malicious
3275,633,20,169,Yes,1,10,191,%PDF-1.6,412,116,68,11,5,0,0,0,0,0,0,0,0,Benign
2360,920,82,23,Yes,1,17,150,%PDF-1.6,217,122,130,20,18,0,0,0,0,0,0,0,0,Malicious
4276,976,32,157,Yes,4,17,603,%PDF-1.5,181,149,149,4,39,0,0,0,0,0,0,0,0,Benign
2830,268,31,23,No,4,3,47,%PDF-1.6,66,51,164,16,30,0,0,0,0,0,0,0,0,Benign
405,274,92,144,No,4,13,319,%PDF-1.7,180,61,69,23,6,0,0,0,0,0,0,0,0,Malicious
3827,85,15,17,Yes,3,1,138,%PDF-1.5,63,125,34,47,2,0,0,0,0,0,0,0,0,Benign
2877,184,91,97,Yes,2,13,20,%PDF-1.5,92,12,6,5,29,0,0,0,0,0,0,0,0,Benign
3177,577,92,131,No,3,6,918,%PDF-1.3,476,64,30,29,23,0,0,0,0,0,0,0,0,Malicious
2831,569,60,145,No,2,8,89,%PDF-1.6,45,143,13,45,48,0,0,0,0,0,0,0,0,Benign
2772,402,17,83,No,3,14,9,%PDF-1.7,241,195,172,40,26,0,0,0,0,0,0,0,0,Malicious
461,344,16,184,Yes,3,8,932,%PDF-1.6,417,103,54,46,46,0,0,0,0,0,0,0,0,Benign
2800,838,29,154,No,3,16,188,%PDF-1.7,476,79,164,9,10,0,0,0,0,0,0,0,0,Benign
3976,487,58,41,Yes,3,10,816,%PDF-1.7,74,88,111,40,22,0,0,0,0,0,0,0,0,Malicious
1526,817,16,134,No,0,19,31,%PDF-1.6,82,137,108,48,6,0,0,0,0,0,0,0,0,Benign
3018,965,46,146,Yes,3,12,153,%PDF-1.5,186,108,91,16,28,0,0,0,0,0,0,0,0,Malicious
163,351,12,66,Yes,1,5,110,%PDF-1.3,277,4,164,25,9,0,0,0,0,0,0,0,0,Malicious
1744,242,54,147,Yes,3,15,706,%PDF-1.3,479,107,9,27,24,0,0,0,0,0,0,0,0,Malicious
2189,955,3,179,No,2,8,620,%PDF-1.4,104,80,19,25,17,0,0,0,0,0,0,0,0,Benign
4913,653,71,163,No,4,10,475,%PDF-1.5,83,140,85,15,9,0,0,0,0,0,0,0,0,Malicious
1080,326,6,152,Yes,1,2,241,%PDF-1.6,127,175,79,48,4,0,0,0,0,0,0,0,0,Malicious
1389,640,20,126,No,4,2,88,%PDF-1.5,437,192,109,47,25,0,0,0,0,0,0,0,0,Malicious
2048,539,18,54,Yes,4,11,569,%PDF-1.3,15,122,147,19,47,0,0,0,0,0,0,0,0,Benign
4963,910,83,159,Yes,1,3,230,%PDF-1.4,190,72,117,40,9,0,0,0,0,0,0,0,0,Malicious
4268,293,6,72,Yes,2,19,590,%PDF-1.7,60,88,52,20,20,0,0,0,0,0,0,0,0,Benign
183,991,43,106,No,2,17,687,%PDF-1.7,79,35,66,39,11,0,0,0,0,0,0,0,0,Malicious
1177,939,59,62,Yes,3,14,849,%PDF-1.4,458,187,150,29,40,0,0,0,0,0,0,0,0,Benign
4110,221,52,62,No,3,14,493,%PDF-1.7,1,169,41,24,20,0,0,0,0,0,0,0,0,Malicious
300,206,68,31,Yes,4,11,4,%PDF-1.6,161,170,101,7,48,0,0,0,0,0,0,0,0,Malicious
4279,556,80,192,Yes,1,1,280,%PDF-1.7,457,65,108,33,12,0,0,0,0,0,0,0,0,Benign
1414,92,39,29,Yes,2,7,853,%PDF-1.7,304,64,150,16,4,0,0,0,0,0,0,0,0,Malicious
4589,333,82,17,No,2,9,533,%PDF-1.6,36,171,143,11,29,0,0,0,0,0,0,0,0,Malicious
1475,463,32,187,Yes,4,18,619,%PDF-1.4,233,108,93,10,32,0,0,0,0,0,0,0,0,Benign
2177,970,98,111,No,1,4,457,%PDF-1.6,485,140,62,49,49,0,0,0,0,0,0,0,0,Benign
3312,992,50,87,No,2,9,162,%PDF-1.4,200,97,74,6,43,0,0,0,0,0,0,0,0,Malicious
640,193,73,147,Yes,0,6,896,%PDF-1.4,264,88,82,40,44,0,0,0,0,0,0,0,0,Benign
2789,897,87,76,No,4,2,772,%PDF-1.6,266,126,44,43,31,0,0,0,0,0,0,0,0,Benign
2530,136,79,25,No,1,2,995,%PDF-1.5,330,162,125,2,17,0,0,0,0,0,0,0,0,Malicious
3921,761,85,145,Yes,1,7,855,%PDF-1.5,94,66,42,29,21,0,0,0,0,0,0,0,0,Benign
4980,853,54,35,Yes,2,1,291,%PDF-1.4,420,161,130,29,6,0,0,0,0,0,0,0,0,Malicious
3324,896,5,110,Yes,2,1,254,%PDF-1.5,494,48,150,18,21,0,0,0,0,0,0,0,0,Benign
2051,262,49,189,No,4,7,248,%PDF-1.3,72,80,192,33,18,0,0,0,0,0,0,0,0,Malicious
2037,898,18,187,Yes,2,4,918,%PDF-1.6,409,182,24,21,1,0,0,0,0,0,0,0,0,Benign
2095,160,89,72,No,2,11,556,%PDF-1.5,408,190,152,22,10,0,0,0,0,0,0,0,0,Malicious
4071,542,24,156,No,0,0,454,%PDF-1.7,371,184,18,22,26,0,0,0,0,0,0,0,0,Malicious
1612,496,23,122,No,0,6,968,%PDF-1.5,186,63,68,40,18,0,0,0,0,0,0,0,0,Benign
843,350,25,95,Yes,1,9,603,%PDF-1.5,234,168,36,32,49,0,0,0,0,0,0,0,0,Benign
1678,71,64,27,No,4,19,909,%PDF-1.3,419,187,33,19,23,0,0,0,0,0,0,0,0,Malicious
123,783,57,75,Yes,4,12,984,%PDF-1.3,77,195,35,46,47,0,0,0,0,0,0,0,0,Malicious
539,368,94,130,Yes,3,17,79,%PDF-1.4,414,4,9,40,33,0,0,0,0,0,0,0,0,Malicious
459,678,42,197,Yes,3,6,361,%PDF-1.4,460,148,164,46,2,0,0,0,0,0,0,0,0,Benign
3860,439,28,0,Yes,1,8,734,%PDF-1.4,341,199,13,36,10,0,0,0,0,0,0,0,0,Malicious
3614,404,5,143,Yes,0,8,813,%PDF-1.4,171,152,80,20,35,0,0,0,0,0,0,0,0,Malicious
3486,891,1,169,Yes,0,17,148,%PDF-1.6,280,46,140,38,27,0,0,0,0,0,0,0,0,Benign
2314,139,37,190,Yes,1,19,318,%PDF-1.3,26,152,198,17,15,0,0,0,0,0,0,0,0,Benign
3588,749,92,84,Yes,1,19,548,%PDF-1.4,465,21,170,14,26,0,0,0,0,0,0,0,0,Benign
814,759,52,23,No,0,15,799,%PDF-1.3,171,96,28,23,45,0,0,0,0,0,0,0,0,Malicious
4504,410,89,54,Yes,1,10,112,%PDF-1.4,29,125,197,48,19,0,0,0,0,0,0,0,0,Benign
2510,299,11,170,No,0,10,600,%PDF-1.6,397,91,131,28,2,0,0,0,0,0,0,0,0,Benign
4690,55,10,175,No,3,19,296,%PDF-1.3,329,139,36,19,15,0,0,0,0,0,0,0,0,Malicious
770,939,83,127,No,4,5,216,%PDF-1.4,311,48,90,23,46,0,0,0,0,0,0,0,0,Benign
2491,950,11,24,No,3,6,515,%PDF-1.3,27,121,183,15,38,0,0,0,0,0,0,0,0,Malicious
3484,278,6,24,No,2,17,414,%PDF-1.7,375,128,79,33,41,0,0,0,0,0,0,0,0,Malicious
2483,80,41,95,No,2,7,635,%PDF-1.6,319,126,37,18,45,0,0,0,0,0,0,0,0,Malicious
2236,166,92,117,No,1,4,317,%PDF-1.4,397,57,175,28,5,0,0,0,0,0,0,0,0,Malicious
839,114,69,6,No,0,11,823,%PDF-1.3,413,61,190,19,14,0,0,0,0,0,0,0,0,Malicious
1911,839,10,137,Yes,2,6,78,%PDF-1.3,106,51,195,16,2,0,0,0,0,0,0,0,0,Malicious
1201,897,83,108,Yes,2,17,861,%PDF-1.5,106,92,191,48,0,0,0,0,0,0,0,0,0,Malicious
1514,195,84,2,No,0,18,29,%PDF-1.6,461,117,174,17,41,0,0,0,0,0,0,0,0,Benign
3421,759,80,19,Yes,2,6,735,%PDF-1.5,265,72,91,4,46,0,0,0,0,0,0,0,0,Benign
3155,220,90,90,No,1,10,346,%PDF-1.7,219,81,39,19,7,0,0,0,0,0,0,0,0,Malicious
3039,398,24,144,Yes,0,19,383,%PDF-1.4,144,57,123,27,36,0,0,0,0,0,0,0,0,Benign
1815,619,97,165,Yes,3,14,19,%PDF-1.4,319,43,44,5,26,0,0,0,0,0,0,0,0,Malicious
4798,733,32,86,No,2,4,702,%PDF-1.5,377,131,95,15,3,0,0,0,0,0,0,0,0,Malicious
447,880,80,59,No,3,11,165,%PDF-1.4,2,163,131,9,45,0,0,0,0,0,0,0,0,Malicious
1719,92,58,193,No,3,12,659,%PDF-1.7,276,58,189,25,43,0,0,0,0,0,0,0,0,Benign
598,236,78,91,Yes,4,13,725,%PDF-1.3,496,172,58,36,28,0,0,0,0,0,0,0,0,Benign
1701,316,63,63,No,4,0,845,%PDF-1.5,141,114,51,48,35,0,0,0,0,0,0,0,0,Benign
4809,344,64,88,No,3,5,708,%PDF-1.5,141,33,147,20,19,0,0,0,0,0,0,0,0,Malicious
